Similarity between documents using the MinHash Method: 
36	8876	1.0
60	6072	1.0
72	3710	1.0
74	1704	1.0
85	6400	1.0
104	8069	1.0
123	8386	1.0
209	3827	1.0
265	3977	0.9231
399	1520	1.0
427	4607	1.0
514	1388	1.0
694	5602	0.9608
702	2888	1.0
742	7310	1.0
776	7154	1.0
807	1508	0.9608
859	1537	1.0
889	9155	1.0
894	2301	1.0
944	8320	1.0
1001	6807	0.9231
1149	7098	1.0
1301	9057	1.0
1443	4072	1.0
1529	2878	1.0
1632	7245	0.9231
1646	8863	0.8868
1694	5995	0.9608
1729	2381	1.0
1743	5494	1.0
1857	4667	1.0
1879	2834	1.0
2128	3294	0.9231
2138	9979	1.0
2378	5155	0.9231
2411	8883	1.0
2521	3630	1.0
2886	9333	1.0
3176	7857	1.0
3182	5521	1.0
3187	4104	0.9608
3316	7314	1.0
3384	9679	0.9231
3429	7426	1.0
3777	7510	1.0
3941	5921	0.9608
4217	6816	1.0
4257	8335	1.0
4374	9821	0.9608
4437	5886	0.9608
4469	7374	1.0
4632	5298	1.0
4766	5186	1.0
4834	5011	1.0
5135	7277	1.0
5138	8768	0.9608
5338	9790	1.0
5344	8856	1.0
5652	8458	1.0
5841	7656	1.0
5851	7906	0.9608
5878	7209	0.9608
5907	9702	1.0
6048	6487	0.9231
6057	6733	1.0
6069	7553	1.0
6075	8919	1.0
6197	7059	0.9608
6271	8866	1.0
6412	9504	1.0
6802	6945	1.0
6906	9428	1.0
7044	8103	1.0
7282	9297	1.0
7313	8985	0.9608
7330	9615	1.0
7480	9710	0.9608
7557	7978	0.9231
7974	9863	1.0
8078	8936	1.0
8581	8697	1.0
